"key","en","ru","de"
"menu_new_game","NEW GAME","НОВАЯ ИГРА","NEUES SPIEL"
"menu_load_game","LOAD GAME","ЗАГРУЗИТЬ","SPIEL LADEN"
"menu_options","OPTIONS","НАСТРОЙКИ","EINSTELLUNGEN"
"menu_quit","QUIT","ВЫЙТИ","BEENDEN"
"options_controls","CONTROLS","УПРАВЛЕНИЕ","EINGABE"
"options_back","BACK","НАЗАД","ZURÜCK"
"options_music","music volume","громкость музыки","Musik-Lautstärke"
"options_sfx","SFX volume","громкость эффектов","SFX-Lautstärke"
"options_windowed","windowed","оконный","Fenstermodus"
"options_fullscreen","fullscreen","полноэкранный","Vollbildmodus"
"not_implemented_warning","not implemented yet!","данная функция ещё не добавлена!"," Diese Funktion ist noch nicht implementiert"
"pause_resume_game","RESUME","ПРОДОЛЖИТЬ","FORTSETZEN"
"pause_save_game","SAVE GAME","СОХРАНИТЬ","SPIEL SPEICHERN"
"pause_main_menu","MAIN MENU","ГЛАВНОЕ МЕНЮ","HAUPTMENÜ"
"hint_try_to_move","TRY MOVING BOXES","ПОПРОБУЙ ПЕРЕДВИНУТЬ ЯЩИКИ","VERSUCHEN SIE, KÄSTCHEN ZU BEWEGEN"
"hint_look_up_down","press <LookUpKey>/<LookDownKey> to look up/down respectively","нажмите <LookUpKey>/<LookDownKey>, чтобы посмотреть вверх/вниз","drücke <LookUpKey>/<LookDownKey>, um nach oben/unten zu schauen"
"dialogue_test1","dialogue_test1","dialogue_test1","du bist ein Arsch"
"dialogue_test2","dialogue_test2","dialogue_test2","und du auch, muss ich sagen"
"dialogue_test3","dialogue_test3","dialogue_test3","dialogue_test3"
"dialogue_option_test1","dialogue_option_test1","dialogue_option_test1","dialogue_option_test1"
"dialogue_option_test2","dialogue_option_test2","dialogue_option_test2",dialogue_option_test2"
"hint_press_e","press <ActionKey> to interact with ingame objects","нажмите <ActionKey> для взаимодействия",""
"smallrobot_eh","Oh . . .","Эх . . .","Oh . . ."
"big_robot_make_generator_work","If you want to make the generator work, you need the light","Если хочешь заставить генератор работать, тебе нужен свет","Wenn du willst, dass der Generator funktioniert, brauchst du Licht"
"big_robot_hero_what","What?","Что?","Was?"
"big_robot_hero_tried_to_do","Have you tried to do something with the generator?","Ты пытался что-то сделать с генератором?","Hast du versucht, etwas mit dem Generator zu tun?"
"big_robot_not_touch_it","Yes, I have. Nothing","Не трогать его","Ja. Ihn in Ruhe zu lassen."
"big_robot_its_name","Take a look at my installation. It's called C...","Но ты взгляни на мою инсталляцию. Её название - к...","Schau Dir meine Installation an. Sie heißt c..."
"big_robot_hero_dont_want_to_know","I better not know what it's called","Я даже не хочу знать, как она называется","Ich will nicht wissen, wie sie heißt"
"big_robot_hero_why_are_you","Why aren't you working?","Почему ты не работаешь?","Warum arbeitest du nicht?"
"big_robot_performance","I'm making a performance","У меня перфоманс","Ich mache Performance"
"big_robot_hero_whats_name","What's it called?","И как он называется?","Und wie heißt es?"
"big_robot_not_working","'Me not working'","'Я не работаю'","'Ich arbeite nicht'"
"big_robot_emptiness",". . .",". . .",". . ."
"big_robot_choice_why_are_you","Why aren't you working?","Почему ты не работаешь?","Warum arbeitest du nicht?"
"big_robot_choice_tried_to_do","Have you tried to do something with the generator?","Ты пытался что-то сделать с генератором?","Hast du versucht, etwas mit dem Generator zu tun?"
"hint_to_understand","PRESS <CyanKey>/<MagentaKey>/<GreenKey> TO UNDERSTAND","НАЖМИТЕ <CyanKey>/<MagentaKey>/<GreenKey>, ЧТОБЫ ПОНЯТЬ","DRÜCKE <CyanKey>/<MagentaKey>/<GreenKey>, UM ZU VERSTEHEN"
"endgame","Wake up, cowboy! We've got a city to save     ","Просыпайся, ковбой! Нужно спасать город!     ","Steh auf, cowboy! Es ist die Zeit die Stadt zu retten!     "
"success_notification","You've poured a barrel of fuel into the generator","Вы залили топливо в генератор","Sie haben Kraftstoff hinzugefügt"
"success_game_saved","GAME SAVED","ИГРА СОХРАНЕНА","SPIEL GESPEICHERT"
"test4","5","6","7"
"tes5","1","2","3"
"1000","1","2","3"
"test7","1","2","3"
"te546","1","2","3"
"te12313","","",""
"te1231===234","1","2","3"
